Gene_Symbol,Mapping_Status,Platform_Source
GENE_174,Shared,GPL570 & GPL96
GENE_175,Shared,GPL570 & GPL96
GENE_176,Shared,GPL570 & GPL96
GENE_177,Shared,GPL570 & GPL96
GENE_178,Shared,GPL570 & GPL96
GENE_179,Shared,GPL570 & GPL96
GENE_180,Shared,GPL570 & GPL96
GENE_181,Shared,GPL570 & GPL96
GENE_182,Shared,GPL570 & GPL96
GENE_183,Shared,GPL570 & GPL96
GENE_184,Shared,GPL570 & GPL96
GENE_185,Shared,GPL570 & GPL96
GENE_186,Shared,GPL570 & GPL96
GENE_187,Shared,GPL570 & GPL96
GENE_188,Shared,GPL570 & GPL96
GENE_189,Shared,GPL570 & GPL96
GENE_190,Shared,GPL570 & GPL96
GENE_191,Shared,GPL570 & GPL96
GENE_192,Shared,GPL570 & GPL96
GENE_193,Shared,GPL570 & GPL96
GENE_194,Shared,GPL570 & GPL96
GENE_195,Shared,GPL570 & GPL96
GENE_196,Shared,GPL570 & GPL96
GENE_197,Shared,GPL570 & GPL96
GENE_198,Shared,GPL570 & GPL96
GENE_199,Shared,GPL570 & GPL96
GENE_200,Shared,GPL570 & GPL96
GENE_201,Shared,GPL570 & GPL96
GENE_202,Shared,GPL570 & GPL96
GENE_203,Shared,GPL570 & GPL96
GENE_204,Shared,GPL570 & GPL96
GENE_205,Shared,GPL570 & GPL96
GENE_206,Shared,GPL570 & GPL96
GENE_207,Shared,GPL570 & GPL96
GENE_208,Shared,GPL570 & GPL96
GENE_209,Shared,GPL570 & GPL96
GENE_210,Shared,GPL570 & GPL96
GENE_211,Shared,GPL570 & GPL96
GENE_212,Shared,GPL570 & GPL96
GENE_213,Shared,GPL570 & GPL96
GENE_214,Shared,GPL570 & GPL96
GENE_215,Shared,GPL570 & GPL96
GENE_216,Shared,GPL570 & GPL96
GENE_217,Shared,GPL570 & GPL96
GENE_218,Shared,GPL570 & GPL96
GENE_219,Shared,GPL570 & GPL96
GENE_220,Shared,GPL570 & GPL96
GENE_221,Shared,GPL570 & GPL96
GENE_222,Shared,GPL570 & GPL96
GENE_223,Shared,GPL570 & GPL96
GENE_224,Shared,GPL570 & GPL96
GENE_225,Shared,GPL570 & GPL96
GENE_226,Shared,GPL570 & GPL96
GENE_227,Shared,GPL570 & GPL96
GENE_228,Shared,GPL570 & GPL96
GENE_229,Shared,GPL570 & GPL96
GENE_230,Shared,GPL570 & GPL96
GENE_231,Shared,GPL570 & GPL96
GENE_232,Shared,GPL570 & GPL96
GENE_233,Shared,GPL570 & GPL96
GENE_234,Shared,GPL570 & GPL96
GENE_235,Shared,GPL570 & GPL96
GENE_236,Shared,GPL570 & GPL96
GENE_237,Shared,GPL570 & GPL96
GENE_238,Shared,GPL570 & GPL96
GENE_239,Shared,GPL570 & GPL96
GENE_240,Shared,GPL570 & GPL96
GENE_241,Shared,GPL570 & GPL96
GENE_242,Shared,GPL570 & GPL96
GENE_243,Shared,GPL570 & GPL96
GENE_244,Shared,GPL570 & GPL96
GENE_245,Shared,GPL570 & GPL96
GENE_246,Shared,GPL570 & GPL96
GENE_247,Shared,GPL570 & GPL96
GENE_248,Shared,GPL570 & GPL96
GENE_249,Shared,GPL570 & GPL96
GENE_250,Shared,GPL570 & GPL96
GENE_251,Shared,GPL570 & GPL96
GENE_252,Shared,GPL570 & GPL96
GENE_253,Shared,GPL570 & GPL96
GENE_254,Shared,GPL570 & GPL96
GENE_255,Shared,GPL570 & GPL96
GENE_256,Shared,GPL570 & GPL96
GENE_257,Shared,GPL570 & GPL96
GENE_258,Shared,GPL570 & GPL96
GENE_259,Shared,GPL570 & GPL96
GENE_260,Shared,GPL570 & GPL96
GENE_261,Shared,GPL570 & GPL96
GENE_262,Shared,GPL570 & GPL96
GENE_263,Shared,GPL570 & GPL96
GENE_264,Shared,GPL570 & GPL96
GENE_265,Shared,GPL570 & GPL96
GENE_266,Shared,GPL570 & GPL96
GENE_267,Shared,GPL570 & GPL96
GENE_268,Shared,GPL570 & GPL96
GENE_269,Shared,GPL570 & GPL96
GENE_270,Shared,GPL570 & GPL96
GENE_271,Shared,GPL570 & GPL96
GENE_272,Shared,GPL570 & GPL96
GENE_273,Shared,GPL570 & GPL96
GENE_274,Shared,GPL570 & GPL96
GENE_275,Shared,GPL570 & GPL96
GENE_276,Shared,GPL570 & GPL96
GENE_277,Shared,GPL570 & GPL96
GENE_278,Shared,GPL570 & GPL96
GENE_279,Shared,GPL570 & GPL96
GENE_280,Shared,GPL570 & GPL96
GENE_281,Shared,GPL570 & GPL96
GENE_282,Shared,GPL570 & GPL96
GENE_283,Shared,GPL570 & GPL96
GENE_284,Shared,GPL570 & GPL96
GENE_285,Shared,GPL570 & GPL96
GENE_286,Shared,GPL570 & GPL96
GENE_287,Shared,GPL570 & GPL96
GENE_288,Shared,GPL570 & GPL96
GENE_289,Shared,GPL570 & GPL96
GENE_290,Shared,GPL570 & GPL96
GENE_291,Shared,GPL570 & GPL96
GENE_292,Shared,GPL570 & GPL96
GENE_293,Shared,GPL570 & GPL96
GENE_294,Shared,GPL570 & GPL96
GENE_295,Shared,GPL570 & GPL96
GENE_296,Shared,GPL570 & GPL96
GENE_297,Shared,GPL570 & GPL96
GENE_298,Shared,GPL570 & GPL96
GENE_299,Shared,GPL570 & GPL96
GENE_300,Shared,GPL570 & GPL96
GENE_301,Shared,GPL570 & GPL96
GENE_302,Shared,GPL570 & GPL96
GENE_303,Shared,GPL570 & GPL96
GENE_304,Shared,GPL570 & GPL96
GENE_305,Shared,GPL570 & GPL96
GENE_306,Shared,GPL570 & GPL96
GENE_307,Shared,GPL570 & GPL96
GENE_308,Shared,GPL570 & GPL96
GENE_309,Shared,GPL570 & GPL96
GENE_310,Shared,GPL570 & GPL96
GENE_311,Shared,GPL570 & GPL96
GENE_312,Shared,GPL570 & GPL96
GENE_313,Shared,GPL570 & GPL96
GENE_314,Shared,GPL570 & GPL96
GENE_315,Shared,GPL570 & GPL96
GENE_316,Shared,GPL570 & GPL96
GENE_317,Shared,GPL570 & GPL96
GENE_318,Shared,GPL570 & GPL96
GENE_319,Shared,GPL570 & GPL96
GENE_320,Shared,GPL570 & GPL96
GENE_321,Shared,GPL570 & GPL96
GENE_322,Shared,GPL570 & GPL96
GENE_323,Shared,GPL570 & GPL96
GENE_324,Shared,GPL570 & GPL96
GENE_325,Shared,GPL570 & GPL96
GENE_326,Shared,GPL570 & GPL96
GENE_327,Shared,GPL570 & GPL96
GENE_328,Shared,GPL570 & GPL96
GENE_329,Shared,GPL570 & GPL96
GENE_330,Shared,GPL570 & GPL96
GENE_331,Shared,GPL570 & GPL96
GENE_332,Shared,GPL570 & GPL96
GENE_333,Shared,GPL570 & GPL96
GENE_334,Shared,GPL570 & GPL96
GENE_335,Shared,GPL570 & GPL96
GENE_336,Shared,GPL570 & GPL96
GENE_337,Shared,GPL570 & GPL96
GENE_338,Shared,GPL570 & GPL96
GENE_339,Shared,GPL570 & GPL96
GENE_340,Shared,GPL570 & GPL96
GENE_341,Shared,GPL570 & GPL96
GENE_342,Shared,GPL570 & GPL96
GENE_343,Shared,GPL570 & GPL96
GENE_344,Shared,GPL570 & GPL96
GENE_345,Shared,GPL570 & GPL96
GENE_346,Shared,GPL570 & GPL96
GENE_347,Shared,GPL570 & GPL96
GENE_348,Shared,GPL570 & GPL96
GENE_349,Shared,GPL570 & GPL96
GENE_350,Shared,GPL570 & GPL96
GENE_351,Shared,GPL570 & GPL96
GENE_352,Shared,GPL570 & GPL96
GENE_353,Shared,GPL570 & GPL96
GENE_354,Shared,GPL570 & GPL96
GENE_355,Shared,GPL570 & GPL96
GENE_356,Shared,GPL570 & GPL96
GENE_357,Shared,GPL570 & GPL96
GENE_358,Shared,GPL570 & GPL96
GENE_359,Shared,GPL570 & GPL96
GENE_360,Shared,GPL570 & GPL96
GENE_361,Shared,GPL570 & GPL96
GENE_362,Shared,GPL570 & GPL96
GENE_363,Shared,GPL570 & GPL96
GENE_364,Shared,GPL570 & GPL96
GENE_365,Shared,GPL570 & GPL96
GENE_366,Shared,GPL570 & GPL96
GENE_367,Shared,GPL570 & GPL96
GENE_368,Shared,GPL570 & GPL96
GENE_369,Shared,GPL570 & GPL96
GENE_370,Shared,GPL570 & GPL96
GENE_371,Shared,GPL570 & GPL96
GENE_372,Shared,GPL570 & GPL96
GENE_373,Shared,GPL570 & GPL96
GENE_374,Shared,GPL570 & GPL96
GENE_375,Shared,GPL570 & GPL96
GENE_376,Shared,GPL570 & GPL96
GENE_377,Shared,GPL570 & GPL96
GENE_378,Shared,GPL570 & GPL96
GENE_379,Shared,GPL570 & GPL96
GENE_380,Shared,GPL570 & GPL96
GENE_381,Shared,GPL570 & GPL96
GENE_382,Shared,GPL570 & GPL96
GENE_383,Shared,GPL570 & GPL96
GENE_384,Shared,GPL570 & GPL96
GENE_385,Shared,GPL570 & GPL96
GENE_386,Shared,GPL570 & GPL96
GENE_387,Shared,GPL570 & GPL96
GENE_388,Shared,GPL570 & GPL96
GENE_389,Shared,GPL570 & GPL96
GENE_390,Shared,GPL570 & GPL96
GENE_391,Shared,GPL570 & GPL96
GENE_392,Shared,GPL570 & GPL96
GENE_393,Shared,GPL570 & GPL96
GENE_394,Shared,GPL570 & GPL96
GENE_395,Shared,GPL570 & GPL96
GENE_396,Shared,GPL570 & GPL96
GENE_397,Shared,GPL570 & GPL96
GENE_398,Shared,GPL570 & GPL96
GENE_399,Shared,GPL570 & GPL96
GENE_400,Shared,GPL570 & GPL96
GENE_401,Shared,GPL570 & GPL96
GENE_402,Shared,GPL570 & GPL96
GENE_403,Shared,GPL570 & GPL96
GENE_404,Shared,GPL570 & GPL96
GENE_405,Shared,GPL570 & GPL96
GENE_406,Shared,GPL570 & GPL96
GENE_407,Shared,GPL570 & GPL96
GENE_408,Shared,GPL570 & GPL96
GENE_409,Shared,GPL570 & GPL96
GENE_410,Shared,GPL570 & GPL96
GENE_411,Shared,GPL570 & GPL96
GENE_412,Shared,GPL570 & GPL96
GENE_413,Shared,GPL570 & GPL96
GENE_414,Shared,GPL570 & GPL96
GENE_415,Shared,GPL570 & GPL96
GENE_416,Shared,GPL570 & GPL96
GENE_417,Shared,GPL570 & GPL96
GENE_418,Shared,GPL570 & GPL96
GENE_419,Shared,GPL570 & GPL96
GENE_420,Shared,GPL570 & GPL96
GENE_421,Shared,GPL570 & GPL96
GENE_422,Shared,GPL570 & GPL96
GENE_423,Shared,GPL570 & GPL96
GENE_424,Shared,GPL570 & GPL96
GENE_425,Shared,GPL570 & GPL96
GENE_426,Shared,GPL570 & GPL96
GENE_427,Shared,GPL570 & GPL96
GENE_428,Shared,GPL570 & GPL96
GENE_429,Shared,GPL570 & GPL96
GENE_430,Shared,GPL570 & GPL96
GENE_431,Shared,GPL570 & GPL96
GENE_432,Shared,GPL570 & GPL96
GENE_433,Shared,GPL570 & GPL96
GENE_434,Shared,GPL570 & GPL96
GENE_435,Shared,GPL570 & GPL96
GENE_436,Shared,GPL570 & GPL96
GENE_437,Shared,GPL570 & GPL96
GENE_438,Shared,GPL570 & GPL96
GENE_439,Shared,GPL570 & GPL96
GENE_440,Shared,GPL570 & GPL96
GENE_441,Shared,GPL570 & GPL96
GENE_442,Shared,GPL570 & GPL96
GENE_443,Shared,GPL570 & GPL96
GENE_444,Shared,GPL570 & GPL96
GENE_445,Shared,GPL570 & GPL96
GENE_446,Shared,GPL570 & GPL96
GENE_447,Shared,GPL570 & GPL96
GENE_448,Shared,GPL570 & GPL96
GENE_449,Shared,GPL570 & GPL96
GENE_450,Shared,GPL570 & GPL96
GENE_451,Shared,GPL570 & GPL96
GENE_452,Shared,GPL570 & GPL96
GENE_453,Shared,GPL570 & GPL96
GENE_454,Shared,GPL570 & GPL96
GENE_455,Shared,GPL570 & GPL96
GENE_456,Shared,GPL570 & GPL96
GENE_457,Shared,GPL570 & GPL96
GENE_458,Shared,GPL570 & GPL96
GENE_459,Shared,GPL570 & GPL96
GENE_460,Shared,GPL570 & GPL96
GENE_461,Shared,GPL570 & GPL96
GENE_462,Shared,GPL570 & GPL96
GENE_463,Shared,GPL570 & GPL96
GENE_464,Shared,GPL570 & GPL96
GENE_465,Shared,GPL570 & GPL96
GENE_466,Shared,GPL570 & GPL96
GENE_467,Shared,GPL570 & GPL96
GENE_468,Shared,GPL570 & GPL96
GENE_469,Shared,GPL570 & GPL96
GENE_470,Shared,GPL570 & GPL96
GENE_471,Shared,GPL570 & GPL96
GENE_472,Shared,GPL570 & GPL96
GENE_473,Shared,GPL570 & GPL96
GENE_474,Shared,GPL570 & GPL96
GENE_475,Shared,GPL570 & GPL96
GENE_476,Shared,GPL570 & GPL96
GENE_477,Shared,GPL570 & GPL96
GENE_478,Shared,GPL570 & GPL96
GENE_479,Shared,GPL570 & GPL96
GENE_480,Shared,GPL570 & GPL96
GENE_481,Shared,GPL570 & GPL96
GENE_482,Shared,GPL570 & GPL96
GENE_483,Shared,GPL570 & GPL96
GENE_484,Shared,GPL570 & GPL96
GENE_485,Shared,GPL570 & GPL96
GENE_486,Shared,GPL570 & GPL96
GENE_487,Shared,GPL570 & GPL96
GENE_488,Shared,GPL570 & GPL96
GENE_489,Shared,GPL570 & GPL96
GENE_490,Shared,GPL570 & GPL96
GENE_491,Shared,GPL570 & GPL96
GENE_492,Shared,GPL570 & GPL96
GENE_493,Shared,GPL570 & GPL96
GENE_494,Shared,GPL570 & GPL96
GENE_495,Shared,GPL570 & GPL96
GENE_496,Shared,GPL570 & GPL96
GENE_497,Shared,GPL570 & GPL96
GENE_498,Shared,GPL570 & GPL96
GENE_499,Shared,GPL570 & GPL96
GENE_500,Shared,GPL570 & GPL96
GENE_501,Shared,GPL570 & GPL96
GENE_502,Shared,GPL570 & GPL96
GENE_503,Shared,GPL570 & GPL96
GENE_504,Shared,GPL570 & GPL96
GENE_505,Shared,GPL570 & GPL96
GENE_506,Shared,GPL570 & GPL96
GENE_507,Shared,GPL570 & GPL96
GENE_508,Shared,GPL570 & GPL96
GENE_509,Shared,GPL570 & GPL96
GENE_510,Shared,GPL570 & GPL96
GENE_511,Shared,GPL570 & GPL96
GENE_512,Shared,GPL570 & GPL96
GENE_513,Shared,GPL570 & GPL96
GENE_514,Shared,GPL570 & GPL96
GENE_515,Shared,GPL570 & GPL96
GENE_516,Shared,GPL570 & GPL96
GENE_517,Shared,GPL570 & GPL96
GENE_518,Shared,GPL570 & GPL96
GENE_519,Shared,GPL570 & GPL96
GENE_520,Shared,GPL570 & GPL96
GENE_521,Shared,GPL570 & GPL96
GENE_522,Shared,GPL570 & GPL96
GENE_523,Shared,GPL570 & GPL96
GENE_524,Shared,GPL570 & GPL96
GENE_525,Shared,GPL570 & GPL96
GENE_526,Shared,GPL570 & GPL96
GENE_527,Shared,GPL570 & GPL96
GENE_528,Shared,GPL570 & GPL96
GENE_529,Shared,GPL570 & GPL96
GENE_530,Shared,GPL570 & GPL96
GENE_531,Shared,GPL570 & GPL96
GENE_532,Shared,GPL570 & GPL96
GENE_533,Shared,GPL570 & GPL96
GENE_534,Shared,GPL570 & GPL96
GENE_535,Shared,GPL570 & GPL96
GENE_536,Shared,GPL570 & GPL96
GENE_537,Shared,GPL570 & GPL96
GENE_538,Shared,GPL570 & GPL96
GENE_539,Shared,GPL570 & GPL96
GENE_540,Shared,GPL570 & GPL96
GENE_541,Shared,GPL570 & GPL96
GENE_542,Shared,GPL570 & GPL96
GENE_543,Shared,GPL570 & GPL96
GENE_544,Shared,GPL570 & GPL96
GENE_545,Shared,GPL570 & GPL96
GENE_546,Shared,GPL570 & GPL96
GENE_547,Shared,GPL570 & GPL96
GENE_548,Shared,GPL570 & GPL96
GENE_549,Shared,GPL570 & GPL96
GENE_550,Shared,GPL570 & GPL96
GENE_551,Shared,GPL570 & GPL96
GENE_552,Shared,GPL570 & GPL96
GENE_553,Shared,GPL570 & GPL96
GENE_554,Shared,GPL570 & GPL96
GENE_555,Shared,GPL570 & GPL96
GENE_556,Shared,GPL570 & GPL96
GENE_557,Shared,GPL570 & GPL96
GENE_558,Shared,GPL570 & GPL96
GENE_559,Shared,GPL570 & GPL96
GENE_560,Shared,GPL570 & GPL96
GENE_561,Shared,GPL570 & GPL96
GENE_562,Shared,GPL570 & GPL96
GENE_563,Shared,GPL570 & GPL96
GENE_564,Shared,GPL570 & GPL96
GENE_565,Shared,GPL570 & GPL96
GENE_566,Shared,GPL570 & GPL96
GENE_567,Shared,GPL570 & GPL96
GENE_568,Shared,GPL570 & GPL96
GENE_569,Shared,GPL570 & GPL96
GENE_570,Shared,GPL570 & GPL96
GENE_571,Shared,GPL570 & GPL96
GENE_572,Shared,GPL570 & GPL96
GENE_573,Shared,GPL570 & GPL96
GENE_574,Shared,GPL570 & GPL96
GENE_575,Shared,GPL570 & GPL96
GENE_576,Shared,GPL570 & GPL96
GENE_577,Shared,GPL570 & GPL96
GENE_578,Shared,GPL570 & GPL96
GENE_579,Shared,GPL570 & GPL96
GENE_580,Shared,GPL570 & GPL96
GENE_581,Shared,GPL570 & GPL96
GENE_582,Shared,GPL570 & GPL96
GENE_583,Shared,GPL570 & GPL96
GENE_584,Shared,GPL570 & GPL96
GENE_585,Shared,GPL570 & GPL96
GENE_586,Shared,GPL570 & GPL96
GENE_587,Shared,GPL570 & GPL96
GENE_588,Shared,GPL570 & GPL96
GENE_589,Shared,GPL570 & GPL96
GENE_590,Shared,GPL570 & GPL96
GENE_591,Shared,GPL570 & GPL96
GENE_592,Shared,GPL570 & GPL96
GENE_593,Shared,GPL570 & GPL96
GENE_594,Shared,GPL570 & GPL96
GENE_595,Shared,GPL570 & GPL96
GENE_596,Shared,GPL570 & GPL96
GENE_597,Shared,GPL570 & GPL96
GENE_598,Shared,GPL570 & GPL96
GENE_599,Shared,GPL570 & GPL96
GENE_600,Shared,GPL570 & GPL96
GENE_601,Shared,GPL570 & GPL96
GENE_602,Shared,GPL570 & GPL96
GENE_603,Shared,GPL570 & GPL96
GENE_604,Shared,GPL570 & GPL96
GENE_605,Shared,GPL570 & GPL96
GENE_606,Shared,GPL570 & GPL96
GENE_607,Shared,GPL570 & GPL96
GENE_608,Shared,GPL570 & GPL96
GENE_609,Shared,GPL570 & GPL96
GENE_610,Shared,GPL570 & GPL96
GENE_611,Shared,GPL570 & GPL96
GENE_612,Shared,GPL570 & GPL96
GENE_613,Shared,GPL570 & GPL96
GENE_614,Shared,GPL570 & GPL96
GENE_615,Shared,GPL570 & GPL96
GENE_616,Shared,GPL570 & GPL96
GENE_617,Shared,GPL570 & GPL96
GENE_618,Shared,GPL570 & GPL96
GENE_619,Shared,GPL570 & GPL96
GENE_620,Shared,GPL570 & GPL96
GENE_621,Shared,GPL570 & GPL96
GENE_622,Shared,GPL570 & GPL96
GENE_623,Shared,GPL570 & GPL96
GENE_624,Shared,GPL570 & GPL96
GENE_625,Shared,GPL570 & GPL96
GENE_626,Shared,GPL570 & GPL96
GENE_627,Shared,GPL570 & GPL96
GENE_628,Shared,GPL570 & GPL96
GENE_629,Shared,GPL570 & GPL96
GENE_630,Shared,GPL570 & GPL96
GENE_631,Shared,GPL570 & GPL96
GENE_632,Shared,GPL570 & GPL96
GENE_633,Shared,GPL570 & GPL96
GENE_634,Shared,GPL570 & GPL96
GENE_635,Shared,GPL570 & GPL96
GENE_636,Shared,GPL570 & GPL96
GENE_637,Shared,GPL570 & GPL96
GENE_638,Shared,GPL570 & GPL96
GENE_639,Shared,GPL570 & GPL96
GENE_640,Shared,GPL570 & GPL96
GENE_641,Shared,GPL570 & GPL96
GENE_642,Shared,GPL570 & GPL96
GENE_643,Shared,GPL570 & GPL96
GENE_644,Shared,GPL570 & GPL96
GENE_645,Shared,GPL570 & GPL96
GENE_646,Shared,GPL570 & GPL96
GENE_647,Shared,GPL570 & GPL96
GENE_648,Shared,GPL570 & GPL96
GENE_649,Shared,GPL570 & GPL96
GENE_650,Shared,GPL570 & GPL96
GENE_651,Shared,GPL570 & GPL96
GENE_652,Shared,GPL570 & GPL96
GENE_653,Shared,GPL570 & GPL96
GENE_654,Shared,GPL570 & GPL96
GENE_655,Shared,GPL570 & GPL96
GENE_656,Shared,GPL570 & GPL96
GENE_657,Shared,GPL570 & GPL96
GENE_658,Shared,GPL570 & GPL96
GENE_659,Shared,GPL570 & GPL96
GENE_660,Shared,GPL570 & GPL96
GENE_661,Shared,GPL570 & GPL96
GENE_662,Shared,GPL570 & GPL96
GENE_663,Shared,GPL570 & GPL96
GENE_664,Shared,GPL570 & GPL96
